Date,Time,Usage Percentage,Convert Litter,Special Events,Is Weekend
2024-03-02,21:00:00,76.21,762.1,Normal day,True
2024-03-02,21:30:00,63.59,635.9,Normal day,True
2024-03-02,22:00:00,66.45,664.5,Normal day,True
2024-03-02,22:30:00,70.19,701.9,Normal day,True
2024-03-02,23:00:00,4.98,49.8,Normal day,True
2024-03-02,23:30:00,8.85,88.5,Normal day,True
2024-03-03,00:00:00,9.75,97.5,Normal day,True
2024-03-03,00:30:00,5.88,58.8,Normal day,True
2024-03-03,01:00:00,9.25,92.5,Normal day,True
2024-03-03,01:30:00,8.31,83.1,Normal day,True
2024-03-03,02:00:00,7.07,70.7,Normal day,True
2024-03-03,02:30:00,5.07,50.7,Normal day,True
2024-03-03,03:00:00,10.33,103.3,Normal day,True
2024-03-03,03:30:00,5.84,58.4,Normal day,True
2024-03-03,04:00:00,10.71,107.1,Normal day,True
2024-03-03,04:30:00,13.28,132.8,Normal day,True
2024-03-03,05:00:00,12.24,122.4,Normal day,True
2024-03-03,05:30:00,14.44,144.4,Normal day,True
2024-03-03,06:00:00,10.39,103.9,Normal day,True
2024-03-03,06:30:00,5.57,55.7,Normal day,True
2024-03-03,07:00:00,68.85,688.5,Normal day,True
2024-03-03,07:30:00,55.94,559.4,Normal day,True
2024-03-03,08:00:00,53.12,531.2,Normal day,True
2024-03-03,08:30:00,64.53,645.3,Normal day,True
2024-03-03,09:00:00,64.59,645.9,Normal day,True
2024-03-03,09:30:00,63.25,632.5,Normal day,True
2024-03-03,10:00:00,55.95,559.5,Normal day,True
2024-03-03,10:30:00,61.12,611.2,Normal day,True
2024-03-03,11:00:00,28.95,289.5,Normal day,True
2024-03-03,11:30:00,48.25,482.5,Normal day,True
2024-03-03,12:00:00,38.5,385.0,Normal day,True
2024-03-03,12:30:00,32.29,322.9,Normal day,True
2024-03-03,13:00:00,58.28,582.8,Normal day,True
2024-03-03,13:30:00,51.18,511.8,Normal day,True
2024-03-03,14:00:00,38.71,387.1,Normal day,True
2024-03-03,14:30:00,50.29,502.9,Normal day,True
2024-03-03,15:00:00,35.97,359.7,Normal day,True
2024-03-03,15:30:00,35.94,359.4,Normal day,True
2024-03-03,16:00:00,48.76,487.6,Normal day,True
2024-03-03,16:30:00,51.98,519.8,Normal day,True
2024-03-03,17:00:00,37.32,373.2,Normal day,True
2024-03-03,17:30:00,38.36,383.6,Normal day,True
2024-03-03,18:00:00,58.39,583.9,Normal day,True
2024-03-03,18:30:00,68.83,688.3,Normal day,True
2024-03-03,19:00:00,77.83,778.3,Normal day,True
2024-03-03,19:30:00,68.45,684.5,Normal day,True
2024-03-03,20:00:00,71.58,715.8,Normal day,True
2024-03-03,20:30:00,78.82,788.2,Normal day,True
2024-03-03,21:00:00,79.32,793.2,Normal day,True
2024-03-03,21:30:00,77.19,771.9,Normal day,True
2024-03-03,22:00:00,82.12,821.2,Normal day,True
2024-03-03,22:30:00,70.12,701.2,Normal day,True
2024-03-03,23:00:00,8.48,84.8,Normal day,True
2024-03-03,23:30:00,6.5,65.0,Normal day,True
2024-03-04,00:00:00,13.38,133.8,Normal day,False
2024-03-04,00:30:00,11.63,116.3,Normal day,False
2024-03-04,01:00:00,9.14,91.4,Normal day,False
2024-03-04,01:30:00,11.34,113.4,Normal day,False
2024-03-04,02:00:00,11.06,110.6,Normal day,False
2024-03-04,02:30:00,7.34,73.4,Normal day,False
2024-03-04,03:00:00,6.09,60.9,Normal day,False
2024-03-04,03:30:00,10.17,101.7,Normal day,False
2024-03-04,04:00:00,13.17,131.7,Normal day,False
2024-03-04,04:30:00,5.26,52.6,Normal day,False
2024-03-04,05:00:00,35.37,353.7,Normal day,False
2024-03-04,05:30:00,40.09,400.9,Normal day,False
2024-03-04,06:00:00,39.38,393.8,Normal day,False
2024-03-04,06:30:00,35.57,355.7,Normal day,False
2024-03-04,07:00:00,31.2,312.0,Normal day,False
2024-03-04,07:30:00,35.74,357.4,Normal day,False
2024-03-04,08:00:00,32.31,323.1,Normal day,False
2024-03-04,08:30:00,37.38,373.8,Normal day,False
2024-03-04,09:00:00,16.78,167.8,Normal day,False
2024-03-04,09:30:00,14.29,142.9,Normal day,False
2024-03-04,10:00:00,12.21,122.1,Normal day,False
2024-03-04,10:30:00,16.58,165.8,Normal day,False
2024-03-04,11:00:00,11.81,118.1,Normal day,False
2024-03-04,11:30:00,13.67,136.7,Normal day,False
2024-03-04,12:00:00,42.62,426.2,Normal day,False
2024-03-04,12:30:00,36.03,360.3,Normal day,False
2024-03-04,13:00:00,42.59,425.9,Normal day,False
2024-03-04,13:30:00,48.89,488.9,Normal day,False
2024-03-04,14:00:00,10.09,100.9,Normal day,False
2024-03-04,14:30:00,21.33,213.3,Normal day,False
2024-03-04,15:00:00,15.46,154.6,Normal day,False
2024-03-04,15:30:00,21.09,210.9,Normal day,False
2024-03-04,16:00:00,18.86,188.6,Normal day,False
2024-03-04,16:30:00,9.97,99.7,Normal day,False
2024-03-04,17:00:00,14.92,149.2,Normal day,False
2024-03-04,17:30:00,22.85,228.5,Normal day,False
2024-03-04,18:00:00,52.55,525.5,Normal day,False
2024-03-04,18:30:00,60.52,605.2,Normal day,False
2024-03-04,19:00:00,59.63,596.3,Normal day,False
2024-03-04,19:30:00,63.37,633.7,Normal day,False
2024-03-04,20:00:00,62.67,626.7,Normal day,False
2024-03-04,20:30:00,57.52,575.2,Normal day,False
2024-03-04,21:00:00,53.09,530.9,Normal day,False
2024-03-04,21:30:00,59.78,597.8,Normal day,False
2024-03-04,22:00:00,12.4,124.0,Normal day,False
2024-03-04,22:30:00,11.8,118.0,Normal day,False
2024-03-04,23:00:00,5.95,59.5,Normal day,False
2024-03-04,23:30:00,15.43,154.3,Normal day,False
2024-03-05,00:00:00,10.66,106.6,Normal day,False
2024-03-05,00:30:00,10.71,107.1,Normal day,False
2024-03-05,01:00:00,14.07,140.7,Normal day,False
2024-03-05,01:30:00,13.39,133.9,Normal day,False
2024-03-05,02:00:00,11.5,115.0,Normal day,False
2024-03-05,02:30:00,8.1,81.0,Normal day,False
2024-03-05,03:00:00,4.75,47.5,Normal day,False
2024-03-05,03:30:00,8.16,81.6,Normal day,False
2024-03-05,04:00:00,8.83,88.3,Normal day,False
2024-03-05,04:30:00,6.96,69.6,Normal day,False
2024-03-05,05:00:00,37.97,379.7,Normal day,False
2024-03-05,05:30:00,37.8,378.0,Normal day,False
2024-03-05,06:00:00,41.44,414.4,Normal day,False
2024-03-05,06:30:00,37.24,372.4,Normal day,False
2024-03-05,07:00:00,36.08,360.8,Normal day,False
2024-03-05,07:30:00,36.56,365.6,Normal day,False
2024-03-05,08:00:00,43.8,438.0,Normal day,False
2024-03-05,08:30:00,38.76,387.6,Normal day,False
2024-03-05,09:00:00,13.39,133.9,Normal day,False
2024-03-05,09:30:00,17.76,177.6,Normal day,False
2024-03-05,10:00:00,19.57,195.7,Normal day,False
2024-03-05,10:30:00,15.79,157.9,Normal day,False
2024-03-05,11:00:00,16.63,166.3,Normal day,False
2024-03-05,11:30:00,10.84,108.4,Normal day,False
2024-03-05,12:00:00,48.01,480.1,Normal day,False
2024-03-05,12:30:00,48.41,484.1,Normal day,False
2024-03-05,13:00:00,38.01,380.1,Normal day,False
2024-03-05,13:30:00,40.44,404.4,Normal day,False
2024-03-05,14:00:00,23.99,239.9,Normal day,False
2024-03-05,14:30:00,16.2,162.0,Normal day,False
2024-03-05,15:00:00,19.4,194.0,Normal day,False
2024-03-05,15:30:00,12.7,127.0,Normal day,False
2024-03-05,16:00:00,14.07,140.7,Normal day,False
2024-03-05,16:30:00,23.19,231.9,Normal day,False
2024-03-05,17:00:00,13.27,132.7,Normal day,False
2024-03-05,17:30:00,20.2,202.0,Normal day,False
2024-03-05,18:00:00,60.32,603.2,Normal day,False
2024-03-05,18:30:00,63.31,633.1,Normal day,False
2024-03-05,19:00:00,57.61,576.1,Normal day,False
2024-03-05,19:30:00,53.59,535.9,Normal day,False
2024-03-05,20:00:00,61.66,616.6,Normal day,False
2024-03-05,20:30:00,55.81,558.1,Normal day,False
2024-03-05,21:00:00,59.18,591.8,Normal day,False
2024-03-05,21:30:00,58.57,585.7,Normal day,False
2024-03-05,22:00:00,7.07,70.7,Normal day,False
2024-03-05,22:30:00,13.46,134.6,Normal day,False
2024-03-05,23:00:00,11.41,114.1,Normal day,False
2024-03-05,23:30:00,5.32,53.2,Normal day,False
2024-03-06,00:00:00,12.95,129.5,Visitors,False
2024-03-06,00:30:00,15.11,151.1,Visitors,False
2024-03-06,01:00:00,8.51,85.1,Visitors,False
2024-03-06,01:30:00,8.41,84.1,Visitors,False
2024-03-06,02:00:00,16.47,164.7,Visitors,False
2024-03-06,02:30:00,15.73,157.3,Visitors,False
2024-03-06,03:00:00,17.67,176.7,Visitors,False
2024-03-06,03:30:00,7.91,79.1,Visitors,False
2024-03-06,04:00:00,11.01,110.1,Visitors,False
2024-03-06,04:30:00,9.98,99.8,Visitors,False
2024-03-06,05:00:00,51.27,512.7,Visitors,False
2024-03-06,05:30:00,47.94,479.4,Visitors,False
2024-03-06,06:00:00,52.19,521.9,Visitors,False
2024-03-06,06:30:00,49.68,496.8,Visitors,False
2024-03-06,07:00:00,59.38,593.8,Visitors,False
2024-03-06,07:30:00,54.15,541.5,Visitors,False
2024-03-06,08:00:00,49.19,491.9,Visitors,False
2024-03-06,08:30:00,44.59,445.9,Visitors,False
2024-03-06,09:00:00,19.3,193.0,Visitors,False
2024-03-06,09:30:00,25.85,258.5,Visitors,False
2024-03-06,10:00:00,22.76,227.6,Visitors,False
2024-03-06,10:30:00,24.29,242.9,Visitors,False
2024-03-06,11:00:00,19.95,199.5,Visitors,False
2024-03-06,11:30:00,18.25,182.5,Visitors,False
2024-03-06,12:00:00,58.05,580.5,Visitors,False
2024-03-06,12:30:00,46.55,465.5,Visitors,False
2024-03-06,13:00:00,63.52,635.2,Visitors,False
2024-03-06,13:30:00,52.14,521.4,Visitors,False
2024-03-06,14:00:00,20.44,204.4,Visitors,False
2024-03-06,14:30:00,29.48,294.8,Visitors,False
2024-03-06,15:00:00,29.6,296.0,Visitors,False
2024-03-06,15:30:00,20.28,202.8,Visitors,False
2024-03-06,16:00:00,23.22,232.2,Visitors,False
2024-03-06,16:30:00,24.42,244.2,Visitors,False
2024-03-06,17:00:00,15.3,153.0,Visitors,False
2024-03-06,17:30:00,22.85,228.5,Visitors,False
2024-03-06,18:00:00,70.01,700.1,Visitors,False
2024-03-06,18:30:00,77.69,776.9,Visitors,False
2024-03-06,19:00:00,84.65,846.5,Visitors,False
2024-03-06,19:30:00,88.73,887.3,Visitors,False
2024-03-06,20:00:00,74.59,745.9,Visitors,False
2024-03-06,20:30:00,80.67,806.7,Visitors,False
2024-03-06,21:00:00,94.14,941.4,Visitors,False
2024-03-06,21:30:00,74.49,744.9,Visitors,False
2024-03-06,22:00:00,11.55,115.5,Visitors,False
2024-03-06,22:30:00,17.84,178.4,Visitors,False
2024-03-06,23:00:00,8.87,88.7,Visitors,False
2024-03-06,23:30:00,6.67,66.7,Visitors,False
2024-03-07,00:00:00,13.22,132.2,Normal day,False
2024-03-07,00:30:00,4.57,45.7,Normal day,False
2024-03-07,01:00:00,8.87,88.7,Normal day,False
2024-03-07,01:30:00,8.57,85.7,Normal day,False
2024-03-07,02:00:00,12.01,120.1,Normal day,False
2024-03-07,02:30:00,8.64,86.4,Normal day,False
2024-03-07,03:00:00,9.6,96.0,Normal day,False
2024-03-07,03:30:00,7.84,78.4,Normal day,False
2024-03-07,04:00:00,8.07,80.7,Normal day,False
2024-03-07,04:30:00,4.7,47.0,Normal day,False
2024-03-07,05:00:00,36.99,369.9,Normal day,False
2024-03-07,05:30:00,45.31,453.1,Normal day,False
2024-03-07,06:00:00,43.83,438.3,Normal day,False
2024-03-07,06:30:00,34.84,348.4,Normal day,False
2024-03-07,07:00:00,43.73,437.3,Normal day,False
2024-03-07,07:30:00,38.48,384.8,Normal day,False
2024-03-07,08:00:00,38.51,385.1,Normal day,False
2024-03-07,08:30:00,31.46,314.6,Normal day,False
2024-03-07,09:00:00,15.66,156.6,Normal day,False
2024-03-07,09:30:00,18.84,188.4,Normal day,False
2024-03-07,10:00:00,18.79,187.9,Normal day,False
2024-03-07,10:30:00,15.87,158.7,Normal day,False
2024-03-07,11:00:00,12.15,121.5,Normal day,False
2024-03-07,11:30:00,13.35,133.5,Normal day,False
2024-03-07,12:00:00,43.71,437.1,Normal day,False
2024-03-07,12:30:00,43.29,432.9,Normal day,False
2024-03-07,13:00:00,43.07,430.7,Normal day,False
2024-03-07,13:30:00,31.68,316.8,Normal day,False
2024-03-07,14:00:00,22.88,228.8,Normal day,False
2024-03-07,14:30:00,13.07,130.7,Normal day,False
2024-03-07,15:00:00,21.88,218.8,Normal day,False
2024-03-07,15:30:00,12.81,128.1,Normal day,False
2024-03-07,16:00:00,10.75,107.5,Normal day,False
2024-03-07,16:30:00,14.08,140.8,Normal day,False
2024-03-07,17:00:00,17.26,172.6,Normal day,False
2024-03-07,17:30:00,12.33,123.3,Normal day,False
2024-03-07,18:00:00,52.77,527.7,Normal day,False
2024-03-07,18:30:00,54.69,546.9,Normal day,False
2024-03-07,19:00:00,53.66,536.6,Normal day,False
2024-03-07,19:30:00,64.53,645.3,Normal day,False
2024-03-07,20:00:00,56.95,569.5,Normal day,False
2024-03-07,20:30:00,49.51,495.1,Normal day,False
2024-03-07,21:00:00,52.48,524.8,Normal day,False
2024-03-07,21:30:00,62.1,621.0,Normal day,False
2024-03-07,22:00:00,10.12,101.2,Normal day,False
2024-03-07,22:30:00,10.86,108.6,Normal day,False
2024-03-07,23:00:00,12.96,129.6,Normal day,False
2024-03-07,23:30:00,5.2,52.0,Normal day,False
2024-03-08,00:00:00,10.16,101.6,Normal day,False
2024-03-08,00:30:00,13.85,138.5,Normal day,False
2024-03-08,01:00:00,6.34,63.4,Normal day,False
2024-03-08,01:30:00,5.48,54.8,Normal day,False
2024-03-08,02:00:00,15.21,152.1,Normal day,False
2024-03-08,02:30:00,7.15,71.5,Normal day,False
2024-03-08,03:00:00,12.75,127.5,Normal day,False
2024-03-08,03:30:00,10.06,100.6,Normal day,False
2024-03-08,04:00:00,7.84,78.4,Normal day,False
2024-03-08,04:30:00,9.47,94.7,Normal day,False
2024-03-08,05:00:00,32.55,325.5,Normal day,False
2024-03-08,05:30:00,39.68,396.8,Normal day,False
2024-03-08,06:00:00,38.9,389.0,Normal day,False
2024-03-08,06:30:00,30.5,305.0,Normal day,False
2024-03-08,07:00:00,39.51,395.1,Normal day,False
2024-03-08,07:30:00,36.31,363.1,Normal day,False
2024-03-08,08:00:00,39.26,392.6,Normal day,False
2024-03-08,08:30:00,36.32,363.2,Normal day,False
2024-03-08,09:00:00,16.65,166.5,Normal day,False
2024-03-08,09:30:00,11.58,115.8,Normal day,False
2024-03-08,10:00:00,17.32,173.2,Normal day,False
2024-03-08,10:30:00,12.57,125.7,Normal day,False
2024-03-08,11:00:00,13.91,139.1,Normal day,False
2024-03-08,11:30:00,14.59,145.9,Normal day,False
2024-03-08,12:00:00,31.72,317.2,Normal day,False
2024-03-08,12:30:00,36.51,365.1,Normal day,False
2024-03-08,13:00:00,47.66,476.6,Normal day,False
2024-03-08,13:30:00,32.21,322.1,Normal day,False
2024-03-08,14:00:00,12.52,125.2,Normal day,False
2024-03-08,14:30:00,10.49,104.9,Normal day,False
2024-03-08,15:00:00,18.44,184.4,Normal day,False
2024-03-08,15:30:00,19.83,198.3,Normal day,False
2024-03-08,16:00:00,17.94,179.4,Normal day,False
2024-03-08,16:30:00,16.2,162.0,Normal day,False
2024-03-08,17:00:00,10.39,103.9,Normal day,False
2024-03-08,17:30:00,20.53,205.3,Normal day,False
2024-03-08,18:00:00,48.52,485.2,Normal day,False
2024-03-08,18:30:00,57.78,577.8,Normal day,False
2024-03-08,19:00:00,55.89,558.9,Normal day,False
2024-03-08,19:30:00,61.45,614.5,Normal day,False
2024-03-08,20:00:00,55.55,555.5,Normal day,False
2024-03-08,20:30:00,57.09,570.9,Normal day,False
2024-03-08,21:00:00,50.7,507.0,Normal day,False
2024-03-08,21:30:00,53.25,532.5,Normal day,False
2024-03-08,22:00:00,11.73,117.3,Normal day,False
2024-03-08,22:30:00,6.22,62.2,Normal day,False
2024-03-08,23:00:00,12.09,120.9,Normal day,False
2024-03-08,23:30:00,12.76,127.6,Normal day,False
2024-03-09,00:00:00,13.66,136.6,Normal day,True
2024-03-09,00:30:00,10.53,105.3,Normal day,True
2024-03-09,01:00:00,6.54,65.4,Normal day,True
2024-03-09,01:30:00,13.31,133.1,Normal day,True
2024-03-09,02:00:00,8.72,87.2,Normal day,True
2024-03-09,02:30:00,7.6,76.0,Normal day,True
2024-03-09,03:00:00,12.55,125.5,Normal day,True
2024-03-09,03:30:00,14.74,147.4,Normal day,True
2024-03-09,04:00:00,10.29,102.9,Normal day,True
2024-03-09,04:30:00,12.52,125.2,Normal day,True
2024-03-09,05:00:00,6.54,65.4,Normal day,True
2024-03-09,05:30:00,11.17,111.7,Normal day,True
2024-03-09,06:00:00,12.94,129.4,Normal day,True
2024-03-09,06:30:00,6.48,64.8,Normal day,True
2024-03-09,07:00:00,61.87,618.7,Normal day,True
2024-03-09,07:30:00,63.06,630.6,Normal day,True
2024-03-09,08:00:00,67.57,675.7,Normal day,True
2024-03-09,08:30:00,53.81,538.1,Normal day,True
2024-03-09,09:00:00,65.74,657.4,Normal day,True
2024-03-09,09:30:00,60.04,600.4,Normal day,True
2024-03-09,10:00:00,68.56,685.6,Normal day,True
2024-03-09,10:30:00,70.71,707.1,Normal day,True
2024-03-09,11:00:00,43.21,432.1,Normal day,True
2024-03-09,11:30:00,45.97,459.7,Normal day,True
2024-03-09,12:00:00,42.43,424.3,Normal day,True
2024-03-09,12:30:00,41.0,410.0,Normal day,True
2024-03-09,13:00:00,56.32,563.2,Normal day,True
2024-03-09,13:30:00,57.91,579.1,Normal day,True
2024-03-09,14:00:00,49.43,494.3,Normal day,True
2024-03-09,14:30:00,47.64,476.4,Normal day,True
2024-03-09,15:00:00,45.49,454.9,Normal day,True
2024-03-09,15:30:00,30.99,309.9,Normal day,True
2024-03-09,16:00:00,37.72,377.2,Normal day,True
2024-03-09,16:30:00,37.69,376.9,Normal day,True
2024-03-09,17:00:00,42.1,421.0,Normal day,True
2024-03-09,17:30:00,29.39,293.9,Normal day,True
2024-03-09,18:00:00,83.07,830.7,Normal day,True
2024-03-09,18:30:00,67.53,675.3,Normal day,True
2024-03-09,19:00:00,67.22,672.2,Normal day,True
2024-03-09,19:30:00,68.19,681.9,Normal day,True
2024-03-09,20:00:00,75.45,754.5,Normal day,True
2024-03-09,20:30:00,67.16,671.6,Normal day,True
2024-03-09,21:00:00,63.1,631.0,Normal day,True
2024-03-09,21:30:00,84.09,840.9,Normal day,True
2024-03-09,22:00:00,76.28,762.8,Normal day,True
2024-03-09,22:30:00,72.37,723.7,Normal day,True
2024-03-09,23:00:00,12.0,120.0,Normal day,True
2024-03-09,23:30:00,11.52,115.2,Normal day,True
2024-03-10,00:00:00,9.22,92.2,Normal day,True
2024-03-10,00:30:00,9.95,99.5,Normal day,True
2024-03-10,01:00:00,12.94,129.4,Normal day,True
2024-03-10,01:30:00,5.65,56.5,Normal day,True
2024-03-10,02:00:00,7.11,71.1,Normal day,True
2024-03-10,02:30:00,5.94,59.4,Normal day,True
2024-03-10,03:00:00,9.87,98.7,Normal day,True
2024-03-10,03:30:00,5.58,55.8,Normal day,True
2024-03-10,04:00:00,12.01,120.1,Normal day,True
2024-03-10,04:30:00,11.92,119.2,Normal day,True
2024-03-10,05:00:00,9.02,90.2,Normal day,True
2024-03-10,05:30:00,10.8,108.0,Normal day,True
2024-03-10,06:00:00,7.62,76.2,Normal day,True
2024-03-10,06:30:00,8.96,89.6,Normal day,True
2024-03-10,07:00:00,65.42,654.2,Normal day,True
2024-03-10,07:30:00,61.94,619.4,Normal day,True
2024-03-10,08:00:00,63.07,630.7,Normal day,True
2024-03-10,08:30:00,57.99,579.9,Normal day,True
2024-03-10,09:00:00,59.72,597.2,Normal day,True
2024-03-10,09:30:00,65.71,657.1,Normal day,True
2024-03-10,10:00:00,57.61,576.1,Normal day,True
2024-03-10,10:30:00,56.2,562.0,Normal day,True
2024-03-10,11:00:00,44.59,445.9,Normal day,True
2024-03-10,11:30:00,33.97,339.7,Normal day,True
2024-03-10,12:00:00,38.4,384.0,Normal day,True
2024-03-10,12:30:00,46.49,464.9,Normal day,True
2024-03-10,13:00:00,49.16,491.6,Normal day,True
2024-03-10,13:30:00,43.08,430.8,Normal day,True
2024-03-10,14:00:00,43.97,439.7,Normal day,True
2024-03-10,14:30:00,51.34,513.4,Normal day,True
2024-03-10,15:00:00,31.38,313.8,Normal day,True
2024-03-10,15:30:00,37.36,373.6,Normal day,True
2024-03-10,16:00:00,42.87,428.7,Normal day,True
2024-03-10,16:30:00,46.04,460.4,Normal day,True
2024-03-10,17:00:00,53.04,530.4,Normal day,True
2024-03-10,17:30:00,34.49,344.9,Normal day,True
2024-03-10,18:00:00,67.9,679.0,Normal day,True
2024-03-10,18:30:00,56.09,560.9,Normal day,True
2024-03-10,19:00:00,67.74,677.4,Normal day,True
2024-03-10,19:30:00,69.29,692.9,Normal day,True
2024-03-10,20:00:00,63.65,636.5,Normal day,True
2024-03-10,20:30:00,68.88,688.8,Normal day,True
2024-03-10,21:00:00,64.69,646.9,Normal day,True
2024-03-10,21:30:00,72.45,724.5,Normal day,True
2024-03-10,22:00:00,78.97,789.7,Normal day,True
2024-03-10,22:30:00,68.77,687.7,Normal day,True
2024-03-10,23:00:00,10.96,109.6,Normal day,True
2024-03-10,23:30:00,10.96,109.6,Normal day,True
2024-03-11,00:00:00,15.77,157.7,Normal day,False
2024-03-11,00:30:00,11.43,114.3,Normal day,False
2024-03-11,01:00:00,12.58,125.8,Normal day,False
2024-03-11,01:30:00,12.95,129.5,Normal day,False
2024-03-11,02:00:00,11.96,119.6,Normal day,False
2024-03-11,02:30:00,7.35,73.5,Normal day,False
2024-03-11,03:00:00,11.28,112.8,Normal day,False
2024-03-11,03:30:00,13.64,136.4,Normal day,False
2024-03-11,04:00:00,14.21,142.1,Normal day,False
2024-03-11,04:30:00,11.01,110.1,Normal day,False
2024-03-11,05:00:00,35.73,357.3,Normal day,False
2024-03-11,05:30:00,40.33,403.3,Normal day,False
2024-03-11,06:00:00,30.52,305.2,Normal day,False
2024-03-11,06:30:00,45.06,450.6,Normal day,False
2024-03-11,07:00:00,33.65,336.5,Normal day,False
2024-03-11,07:30:00,41.68,416.8,Normal day,False
2024-03-11,08:00:00,40.54,405.4,Normal day,False
